microsample,cryosection,pixel_x,pixel_y
M306710,G121eI117A,433.15,451.76
M306711,G121eI117A,410.54,506.03
M306712,G121eI117A,484.12,494.9
M306714,G121eI117A,460.34,550.43
M306715,G121eI117A,415.64,545.66
M306716,G121eI117A,402.23,587.05
M306717,G121eI117A,412.21,651.97
M306718,G121eI117A,520.5,480.52
M306719,G121eI117A,538.87,514.83
M306720,G121eI117A,538.17,566.59
M306722,G121eI117A,551.57,598.78
M306723,G121eI117A,537.84,630.78
M306724,G121eI117A,541.44,671.81
M306725,G121eI117A,550.76,718.32
M306726,G121eI117A,609.33,606.67
M306728,G121eI117A,617.18,656.6
M306729,G121eI117A,668.16,638.5
M306730,G121eI117A,666.18,601.96
M306731,G121eI117A,660.45,557.83
M306732,G121eI117A,695.2,560.19
M306733,G121eI117A,714.71,585.02
M306735,G121eI117A,599.12,557.45
M306736,G121eI117A,609.9,520.01
M306737,G121eI117A,657.33,509.58
M306738,G121eI117A,651.03,462.54
M306739,G121eI117A,606.41,467.55
M306740,G121eI117A,598.24,445.19
M306741,G121eI117A,560.91,438.6
M306742,G121eI117A,652.11,419.14
M306743,G121eI117A,632.19,356.19
M306744,G121eI117A,603.42,346.62
M306745,G121eI117A,566.09,360.64
M306746,G121eI117A,465.94,360.38
M306747,G121eI117A,466.39,352
M306749,G121eI117A,432.36,359.9
M306750,G121eI117A,594.08,309.46
M306751,G121eI117A,494.91,334.93
M306753,G121eI117A,459.2,322.86
M306754,G121eI117A,462.49,275.38
M306755,G121eI117A,460.34,238.89
M306756,G121eI117A,500.41,235.59
M306757,G121eI117A,460.04,191.9
M306901,G121eI117A,411.86,306.02
M306902,G121eI117A,371.19,356.76
M306903,G121eI117A,311.6,337.7
M306904,G121eI117A,331.96,306.36
M306906,G121eI117A,257.05,328.02
M306907,G121eI117A,282,291.52
M306908,G121eI117A,288.08,253.68
M306909,G121eI117A,312.14,392.24
M306910,G121eI117A,373.99,425.04
M306911,G121eI117A,371.71,470.8
M306912,G121eI117A,363.68,501.73
M306914,G121eI117A,325.81,512.7
M306915,G121eI117A,285.87,542.23
M306916,G121eI117A,241.45,519.96
M306917,G121eI117A,233.01,560.29
M306919,G121eI117A,426.03,381.98
M306920,G121eI117A,438.48,406.46
M306921,G121eI117A,469.01,437.76
M306922,G121eI117A,509.17,536.04
M306923,G121eI117A,499.99,570.74
M306924,G121eI117A,455.05,617.2
M306925,G121eI117A,308.22,570.52
M306926,G121eI117A,365.62,583.71
M306927,G121eI117A,301.9,611.09
M306928,G121eI117A,240.16,628.18
M306929,G121eI117A,258.88,538.4
M306930,G121eI117A,229.09,584.56
M306932,G121eI117A,416.5,614.6
M306933,G121eI117A,273.63,571.97
M306934,G121eI117A,216.4,547.2
M306935,G121eI117A,348.54,540.23
M306936,G121eI117A,370.51,319.08
M306938,G121eI117A,424.06,275.27
M306939,G121eI117A,432.44,238.42
M306940,G121eI117A,417.24,203.77
M306941,G121eI117A,461.01,521.79
M306942,G121eI117A,485.05,652.45
M306943,G121eI117A,444.48,663.52
M306944,G121eI117A,423.08,688.5
M306945,G121eI117A,434.37,728.99
M306946,G121eI117A,381.8,725.52
M306948,G121eI117A,396.85,744.29
M306997,G121eI117A,618.7,544.64
M306998,G121eI117A,706.41,605.7
M306999,G121eI117A,637.46,619.63
M307001,G121eI117A,562.44,640.65
M307002,G121eI117A,506.65,646.17
M307003,G121eI117A,474.11,668.89
M307004,G121eI117A,389.09,693.64
M307005,G121eI117A,444.31,571.48
M307006,G121eI117A,470.33,465.62
M307007,G121eI117A,514.35,416.41
M307008,G121eI117A,519.9,346.11
M307009,G121eI117A,432.61,328.85
M307010,G121eI117A,306.4,274.6
M307012,G121eI117A,259.17,267.98
M307013,G121eI117A,466.11,380.26
M307014,G121eI117A,473.37,216.26
M307015,G121eI117A,466.49,167.92
M307016,G121eI117A,429.84,160.83
M307017,G121eI117A,392.78,159.3
M307018,G121eI117A,416.71,184.35
M307020,G121eI117A,474.04,284.09
M307021,G121eI117A,476.12,311.04
M307022,G121eI117A,401.91,427.09
M307024,G121eI117A,366.87,447.08
M307025,G121eI117A,311.64,544.76
M307026,G121eI117A,324.42,598.25
M307027,G121eI117A,376.87,600.03
M307028,G121eI117A,379.72,561.57
M307029,G121eI117A,559.7,463.44
M307031,G121eI117A,547.38,409.51
M307032,G121eI117A,567.35,383.88
M307033,G121eI117A,568.98,339.22
M307034,G121eI117A,583.66,356.72
M307035,G121eI117A,605.97,398.55
M307036,G121eI117A,653.74,378.09
M307037,G121eI117A,450.55,638.01
M307038,G121eI117A,503.95,610.12
M307039,G121eI117A,507.2,677.09
M307041,G121eI117A,558.95,734.82
M307042,G121eI117A,592.07,742.7
M307043,G121eI117A,596.49,776.73
M307044,G121eI117A,528.51,787.89
M307093,G121eI117A,572.9,753.42
M307095,G121eI117A,555.55,555.62
M307096,G121eI117A,559.52,520.27
M307097,G121eI117A,559.54,489.84
M307098,G121eI117A,434.85,481.03
M307099,G121eI117A,402.42,472.69
M307100,G121eI117A,378.05,515.34
M307101,G121eI117A,590.86,422.4
M307102,G121eI117A,514.63,444.21
M307103,G121eI117A,428.15,524.04
M307105,G121eI117A,281.35,583.33
M307106,G121eI117A,335.17,438.03
M307107,G121eI117A,328.93,412.87
M307108,G121eI117A,314.67,363.81
M307109,G121eI117A,247.02,319.26
M307110,G121eI117A,300.65,312.71
M307111,G121eI117A,308.2,248.27
M307112,G121eI117A,264.61,361.18
M307113,G121eI117A,283.36,230.7
M307114,G121eI117A,263.95,245.29
M307116,G121eI117A,360.44,383.22
M307117,G121eI117A,538.23,526.05
M307119,G121eI117A,580.83,577.42
M307120,G121eI117A,536.52,649.57
M307121,G121eI117A,552.98,689.58
M307122,G121eI117A,605.08,761.44
M307123,G121eI117A,413.66,710.05
M307124,G121eI117A,417.4,750.32
M307125,G121eI117A,464.44,593.88
M307126,G121eI117A,430.41,591.29
M307127,G121eI117A,414.26,565.94
M307129,G121eI117A,438.42,428.56
M307130,G121eI117A,661.55,424.58
M307131,G121eI117A,661.19,456.23
M307132,G121eI117A,613.01,499.49
M307133,G121eI117A,511.74,394.78
M307134,G121eI117A,449.29,388.98
M307136,G121eI117A,384.52,395.27
M307137,G121eI117A,430.37,212.33
M307138,G121eI117A,447.36,166.67
M307139,G121eI117A,496.12,167.35
M307140,G121eI117A,513.96,228.66
M306662,G121eO306A,315.3,521.36
M306663,G121eO306A,336.36,546.61
M306664,G121eO306A,352.01,587.42
M306666,G121eO306A,327.22,624.11
M306667,G121eO306A,331.11,649.48
M306668,G121eO306A,377.25,654.79
M306669,G121eO306A,357.51,701.91
M306670,G121eO306A,410.1,752.97
M306671,G121eO306A,453.83,723.25
M306672,G121eO306A,525.3,694.31
M306674,G121eO306A,559.98,622.19
M306675,G121eO306A,540.04,595.1
M306676,G121eO306A,589.58,589.38
M306677,G121eO306A,586.98,537.42
M306678,G121eO306A,634.86,622.23
M306680,G121eO306A,651.39,687.79
M306681,G121eO306A,620.19,674.76
M306682,G121eO306A,569.98,693.54
M306683,G121eO306A,585.41,724.62
M306684,G121eO306A,577.83,759.03
M306685,G121eO306A,491.73,754.04
M306687,G121eO306A,488.44,447.5
M306688,G121eO306A,519.02,443.29
M306689,G121eO306A,525.09,470.47
M306690,G121eO306A,524.72,494.66
M306691,G121eO306A,573.66,483.49
M306692,G121eO306A,602.29,503.58
M306693,G121eO306A,643.46,494.33
M306694,G121eO306A,583.37,391.87
M306695,G121eO306A,564.8,361.67
M306696,G121eO306A,569.21,297.86
M306697,G121eO306A,548.93,264.19
M306698,G121eO306A,525.67,264.22
M306699,G121eO306A,505.85,248.43
M306701,G121eO306A,482.43,265.48
M306702,G121eO306A,371.15,285.99
M306703,G121eO306A,398.5,318.97
M306705,G121eO306A,351.34,318.4
M306706,G121eO306A,351.09,345.96
M306707,G121eO306A,314.6,360.31
M306708,G121eO306A,306.86,389.97
M306709,G121eO306A,292.06,397.65
M306758,G121eO306A,344.77,393.74
M306854,G121eO306A,369.7,393.55
M306855,G121eO306A,385.27,425.27
M306856,G121eO306A,379.14,447.14
M306858,G121eO306A,373.79,469.46
M306859,G121eO306A,336.46,471.11
M306860,G121eO306A,346.73,495.3
M306861,G121eO306A,528.61,514.01
M306862,G121eO306A,518.22,543.74
M306863,G121eO306A,527.73,577.78
M306864,G121eO306A,519.08,616.77
M306866,G121eO306A,479.3,640.14
M306867,G121eO306A,485.86,663.64
M306868,G121eO306A,431.88,650.71
M306869,G121eO306A,460.68,667.21
M306871,G121eO306A,565.08,666.67
M306872,G121eO306A,622.73,759.83
M306873,G121eO306A,630.09,789.68
M306874,G121eO306A,650.18,735.38
M306875,G121eO306A,609.69,734.43
M306876,G121eO306A,455.92,689.75
M306877,G121eO306A,444.24,616.78
M306878,G121eO306A,416.97,588.8
M306879,G121eO306A,476.84,579.35
M306880,G121eO306A,486.29,553.52
M306881,G121eO306A,447.92,548.86
M306882,G121eO306A,417.66,542.07
M306884,G121eO306A,389.27,539.64
M306885,G121eO306A,388.47,504.61
M306886,G121eO306A,355.84,521.72
M306887,G121eO306A,309,592.72
M306888,G121eO306A,344.56,667.78
M306890,G121eO306A,331.53,688.49
M306891,G121eO306A,406.92,681.13
M306892,G121eO306A,394.18,703.68
M306893,G121eO306A,504.69,407.82
M306894,G121eO306A,512.29,387.63
M306895,G121eO306A,510.52,368.21
M306896,G121eO306A,508.97,337.65
M306897,G121eO306A,554.25,325.67
M306898,G121eO306A,601.77,355.68
M306900,G121eO306A,615.81,374.22
M306949,G121eO306A,384.85,250.31
M306950,G121eO306A,407.01,222.58
M306951,G121eO306A,398.78,213.77
M306953,G121eO306A,446.07,231.39
M306954,G121eO306A,470.12,242.55
M306955,G121eO306A,462.78,265.64
M306956,G121eO306A,435.94,289.9
M306957,G121eO306A,411.81,242.83
M306958,G121eO306A,409.02,276.98
M306959,G121eO306A,402.09,312.6
M306960,G121eO306A,367.84,316.35
